,country,year,co2,co2_per_gdp,share_global_co2,co2_per_capita,co2_per_unit_energy,primary_energy_consumption,energy_per_capita,energy_per_gdp,population,gdp,group1,group2,group3,group4,group5,growth_co2,growth_primary_energy,growth_pop,growth_co2_per_gdp,growth_co2_per_capita,growth_energy_per_gdp,growth_energy_per_capita
42,Austria,2005,79.192,0.254,0.269,9.594,0.191,415.61,50352.568,1.332,8254000.0,312000000000.0,0.0,1.0,0.0,0.0,0.0,0.2747203219315894,0.27967805601997686,0.06861729673744174,-0.2349397590361446,0.19283849309958975,0.19750798811247958,-0.23316062176165803
43,Austria,2006,76.898,0.237,0.253,9.282,0.187,412.02,49730.816,1.268,8285000.0,325000000000.0,0.0,1.0,0.0,0.0,0.0,0.23779476861166995,0.26862431760869765,0.072630761263594,-0.2861445783132531,0.15404699738903405,0.18272119537879197,-0.2700057570523892
44,Austria,2007,74.263,0.22,0.237,8.932,0.184,403.195,48495.944,1.196,8314000.0,337000000000.0,0.0,1.0,0.0,0.0,0.0,0.19538028169014093,0.24145182694587367,0.07638529259451061,-0.3373493975903615,0.11053089643167988,0.15335290011535221,-0.3114565342544618
45,Austria,2008,73.588,0.215,0.23,8.821,0.179,412.168,49408.722,1.205,8342000.0,342000000000.0,0.0,1.0,0.0,0.0,0.0,0.18451509054325946,0.2690800149025332,0.08001035732780942,-0.3524096385542169,0.09673007584234745,0.17506100736369218,-0.30627518710420265
46,Austria,2009,67.494,0.201,0.215,8.061,0.169,399.393,47700.099,1.189,8373000.0,336000000000.0,0.0,1.0,0.0,0.0,0.0,0.0864225352112676,0.22974533295153285,0.08402382185396168,-0.39457831325301207,0.002237970906378302,0.13442574738702706,-0.3154864709268854
47,Austria,2010,72.012,0.211,0.217,8.563,0.174,413.541,49172.489,1.213,8410000.0,341000000000.0,0.0,1.0,0.0,0.0,0.0,0.15914688128772636,0.27330753101358785,0.08881408596582081,-0.36445783132530124,0.06465249285092645,0.16944280523831545,-0.30166954519286127
48,Austria,2011,69.898,0.2,0.204,8.268,0.181,386.946,45770.817,1.106,8454000.0,350000000000.0,0.0,1.0,0.0,0.0,0.0,0.1251187122736418,0.1914205747328168,0.09451061626100465,-0.39759036144578314,0.02797463632972789,0.08854267333365166,-0.36327000575705237
49,Austria,2012,67.209,0.184,0.193,7.905,0.165,406.619,47826.297,1.114,8502000.0,365000000000.0,0.0,1.0,0.0,0.0,0.0,0.08183501006036223,0.2519944454194726,0.10072501294665977,-0.44578313253012053,-0.017157776948899542,0.13742704640883294,-0.358664363845711
50,Austria,2013,67.746,0.184,0.194,7.918,0.168,402.988,47100.102,1.095,8556000.0,368000000000.0,0.0,1.0,0.0,0.0,0.0,0.09047887323943654,0.24081446654165786,0.10771620921802175,-0.44578313253012053,-0.015541464627626398,0.12015634209386451,-0.36960276338514686
51,Austria,2014,64.084,0.166,0.182,7.439,0.165,387.78,45012.237,1.005,8615000.0,386000000000.0,0.0,1.0,0.0,0.0,0.0,0.03153319919517108,0.19398849056429485,0.11535473847747281,-0.5,-0.07509635708069119,0.07050177401700972,-0.42141623488773755
52,Austria,2015,66.283,0.17,0.188,7.637,0.171,388.734,44790.134,0.999,8679000.0,389000000000.0,0.0,1.0,0.0,0.0,0.0,0.06692957746478875,0.19692589068807212,0.12364060072501294,-0.4879518072289157,-0.05047867711053086,0.0652196180665178,-0.42487046632124353
53,Austria,2016,67.112,0.17,0.191,7.673,0.167,401.969,45955.062,1.018,8747000.0,395000000000.0,0.0,1.0,0.0,0.0,0.0,0.08027364185110655,0.2376769290928853,0.13244432936302433,-0.4879518072289157,-0.04600273529777437,0.09292447287304711,-0.4139320667818077
