,index,Country,Year,GHG
177,177,Australia,1993,1829.872
178,178,Australia,1994,1027.344
179,179,Australia,1995,1004.032
180,180,Australia,1996,414.171
181,181,Australia,1997,705.228
182,182,Australia,1998,998.29
183,183,Australia,1999,1374.54
184,184,Australia,2000,1613.953
185,185,Australia,2001,2307.108
186,186,Australia,2002,2925.898
187,187,Australia,2003,3578.897
188,188,Australia,2004,4267.137
189,189,Australia,2005,5002.762
190,190,Australia,2006,5166.706
191,191,Australia,2007,6066.186
192,192,Australia,2008,6858.964
193,193,Australia,2009,8109.073
194,194,Australia,2010,8672.212
195,195,Australia,2011,9139.821
196,196,Australia,2012,9055.869
197,197,Australia,2013,9859.713
198,198,Australia,2014,10778.852
199,199,Australia,2015,11795.325
200,200,Australia,2016,11979.462
201,201,Australia,2017,11685.936
202,202,Australia,2018,11982.082
203,203,Australia,1990,4607.013
204,204,Australia,1991,4610.743
205,205,Australia,1992,4603.283
206,206,Australia,1993,3315.528
207,207,Australia,1994,2164.429
208,208,Australia,1995,1530.836
209,209,Australia,1996,1410.395
210,210,Australia,1997,1228.151
211,211,Australia,1998,1660.519
212,212,Australia,1999,1139.059
213,213,Australia,2000,1287.062
214,214,Australia,2001,1801.882
215,215,Australia,2002,1727.623
216,216,Australia,2003,1683.985
217,217,Australia,2004,1713.849
218,218,Australia,2005,1791.701
219,219,Australia,2006,687.06
220,220,Australia,2007,582.677
221,221,Australia,2008,444.517
222,222,Australia,2009,358.552
223,223,Australia,2010,283.315
224,224,Australia,2011,301.305
225,225,Australia,2012,294.883
226,226,Australia,2013,192.001
227,227,Australia,2014,192.536
228,228,Australia,2015,171.324
229,229,Australia,2016,224.924
230,230,Australia,2017,202.626
231,231,Australia,2018,236.003
232,232,Australia,1990,220.56
233,233,Australia,1991,239.342
234,234,Australia,1992,258.112
235,235,Australia,1993,276.869
236,236,Australia,1994,295.606
237,237,Australia,1995,316.215
238,238,Australia,1996,289.098
239,239,Australia,1997,266.773
240,240,Australia,1998,240.207
241,241,Australia,1999,211.289
242,242,Australia,2000,212.427
243,243,Australia,2001,218.796
244,244,Australia,2002,225.095
245,245,Australia,2003,229.114
246,246,Australia,2004,230.665
247,247,Australia,2005,196.216
248,248,Australia,2006,186.069
249,249,Australia,2007,175.128
250,250,Australia,2008,163.325
251,251,Australia,2009,146.993
252,252,Australia,2010,142.744
253,253,Australia,2011,140.786
254,254,Australia,2012,147.496
255,255,Australia,2013,141.832
256,256,Australia,2014,155.168
257,257,Australia,2015,170.938
258,258,Australia,2016,186.307
259,259,Australia,2017,189.994
260,260,Australia,2018,228.533
261,9583,Australia,1990,294160.598
262,9584,Australia,1991,296723.698
263,9585,Australia,1992,303302.861
264,9586,Australia,1993,306132.737
265,9587,Australia,1994,306816.102
266,9588,Australia,1995,319010.957
267,9589,Australia,1996,326382.15
268,9590,Australia,1997,337428.475
269,9591,Australia,1998,350826.956
270,9592,Australia,1999,355754.672
271,9593,Australia,2000,364493.622
272,9594,Australia,2001,371692.007
273,9595,Australia,2002,374821.194
274,9596,Australia,2003,380298.143
275,9597,Australia,2004,393747.525
276,9598,Australia,2005,399886.363
277,9599,Australia,2006,406112.132
278,9600,Australia,2007,413510.768
279,9601,Australia,2008,419107.329
280,9602,Australia,2009,424132.298
281,9603,Australia,2010,419501.839
282,9604,Australia,2011,416960.056
283,9605,Australia,2012,422073.734
284,9606,Australia,2013,414672.174
285,9607,Australia,2014,409306.24
286,9608,Australia,2015,419452.071
287,9609,Australia,2016,430158.618
288,9610,Australia,2017,433806.547
289,9611,Australia,2018,435570.938
290,9841,Australia,1990,84780.347
291,9842,Australia,1991,84005.621
292,9843,Australia,1992,81258.322
293,9844,Australia,1993,79273.428
294,9845,Australia,1994,79386.797
295,9846,Australia,1995,75937.598
296,9847,Australia,1996,78125.058
297,9848,Australia,1997,79349.95
298,9849,Australia,1998,79283.651
299,9850,Australia,1999,79367.965
300,9851,Australia,2000,82534.721
301,9852,Australia,2001,81546.537
302,9853,Australia,2002,81434.985
303,9854,Australia,2003,75926.216
304,9855,Australia,2004,79425.597
305,9856,Australia,2005,80056.082
306,9857,Australia,2006,78547.342
307,9858,Australia,2007,74650.888
308,9859,Australia,2008,72145.689
309,9860,Australia,2009,72468.524
310,9861,Australia,2010,70140.861
311,9862,Australia,2011,74728.115
312,9863,Australia,2012,76173.564
313,9864,Australia,2013,76369.138
314,9865,Australia,2014,76841.537
315,9866,Australia,2015,74037.086
316,9867,Australia,2016,73122.705
317,9868,Australia,2017,77018.062
318,9869,Australia,2018,75587.639
319,11590,Australia,1990,20026.008
320,11591,Australia,1991,20004.842
321,11592,Australia,1992,19754.054
322,11593,Australia,1993,19593.47
323,11594,Australia,1994,18901.653
324,11595,Australia,1995,18854.435
325,11596,Australia,1996,17235.501
326,11597,Australia,1997,16967.651
327,11598,Australia,1998,16145.527
328,11599,Australia,1999,16234.643
329,11600,Australia,2000,15661.817
330,11601,Australia,2001,15873.62
331,11602,Australia,2002,15988.211
332,11603,Australia,2003,14909.936
333,11604,Australia,2004,14519.502
334,11605,Australia,2005,14388.93
335,11606,Australia,2006,14177.029
336,11607,Australia,2007,14516.3
337,11608,Australia,2008,14991.826
338,11609,Australia,2009,14902.723
339,11610,Australia,2010,15221.543
340,11611,Australia,2011,14581.605
341,11612,Australia,2012,13083.337
342,11613,Australia,2013,12469.741
343,11614,Australia,2014,12554.124
344,11615,Australia,2015,12062.093
345,11616,Australia,2016,12588.735
346,11617,Australia,2017,12654.379
347,11618,Australia,2018,12691.194
348,12156,Australia,1990,26031.428
349,12157,Australia,1991,25281.05
350,12158,Australia,1992,25901.143
351,12159,Australia,1993,25612.92
352,12160,Australia,1994,25548.781
353,12161,Australia,1995,25201.911
354,12162,Australia,1996,24939.141
355,12163,Australia,1997,25095.526
356,12164,Australia,1998,26373.536
357,12165,Australia,1999,26842.561
358,12166,Australia,2000,26683.682
359,12167,Australia,2001,27870.146
360,12168,Australia,2002,28563.499
361,12169,Australia,2003,31167.48
362,12170,Australia,2004,32622.558
363,12171,Australia,2005,31875.598
364,12172,Australia,2006,31951.484
365,12173,Australia,2007,34210.646
366,12174,Australia,2008,34424.156
367,12175,Australia,2009,32781.918
368,12176,Australia,2010,35707.167
369,12177,Australia,2011,36242.143
370,12178,Australia,2012,33402.121
371,12179,Australia,2013,31495.76
372,12180,Australia,2014,31709.117
373,12181,Australia,2015,33067.526
374,12182,Australia,2016,32992.489
375,12183,Australia,2017,33133.277
376,12184,Australia,2018,34197.449
377,13476,Australia,1990,0.866
378,13477,Australia,1991,0.864
379,13478,Australia,1992,0.839
380,13479,Australia,1993,0.807
381,13480,Australia,1994,0.777
382,13481,Australia,1995,0.763
383,13482,Australia,1996,0.747
384,13483,Australia,1997,0.733
385,13484,Australia,1998,0.719
386,13485,Australia,1999,0.7
387,13486,Australia,2000,0.703
388,13487,Australia,2001,0.686
389,13488,Australia,2002,0.672
390,13489,Australia,2003,0.648
391,13490,Australia,2004,0.65
392,13491,Australia,2005,0.64
393,13492,Australia,2006,0.622
394,13493,Australia,2007,0.607
