,country,year,co2,co2_per_gdp,share_global_co2,co2_per_capita,co2_per_unit_energy,primary_energy_consumption,energy_per_capita,energy_per_gdp,population,gdp,group1,group2,group3,group4,group5,growth_co2,growth_primary_energy,growth_pop
0,Australia,1965,120.853,0.626,1.072,10.683,0.299,404.19,35727.913,2.094,11313000.0,193000000000.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
1,Australia,1966,120.219,0.601,1.019,10.37,0.271,443.552,38260.344,2.218,11593000.0,200000000000.0,0.0,1.0,0.0,1.0,0.0,-0.005246042713048086,0.09738489324327673,0.024750287280120215
2,Australia,1967,129.144,0.609,1.061,10.852,0.275,470.455,39534.072,2.219,11900000.0,212000000000.0,0.0,1.0,0.0,1.0,0.0,0.06860400652031817,0.16394517429921568,0.051887209405109165
3,Australia,1968,134.497,0.6,1.048,11.01,0.27,498.948,40843.851,2.227,12216000.0,224000000000.0,0.0,1.0,0.0,1.0,0.0,0.1128974870296974,0.23443924886810655,0.0798196764783877
4,Australia,1969,142.124,0.597,1.038,11.353,0.274,519.445,41492.517,2.183,12519000.0,238000000000.0,0.0,1.0,0.0,1.0,0.0,0.17600721537735928,0.2851505480095996,0.10660302307080351
5,Australia,1970,147.48,0.583,0.995,11.528,0.26,566.646,44293.414,2.24,12793000.0,253000000000.0,0.0,1.0,0.0,1.0,0.0,0.2203255194326992,0.40192978549691966,0.130822947052064
6,Australia,1971,152.63,0.578,0.989,11.711,0.257,594.916,45646.861,2.253,13033000.0,264000000000.0,0.0,1.0,0.0,1.0,0.0,0.26293927333206457,0.47187213934040934,0.15203747900645276
7,Australia,1972,157.336,0.581,0.975,11.88,0.253,622.178,46978.139,2.296,13244000.0,271000000000.0,0.0,1.0,0.0,1.0,0.0,0.30187914242923236,0.5393206165417255,0.1706885883496862
8,Australia,1973,170.827,0.597,1.005,12.718,0.257,665.168,49521.18,2.326,13432000.0,286000000000.0,0.0,1.0,0.0,1.0,0.0,0.41351062861492893,0.6456814864296494,0.18730663838062406
9,Australia,1974,172.189,0.611,1.017,12.655,0.243,707.146,51973.09,2.508,13606000.0,282000000000.0,0.0,1.0,0.0,1.0,0.0,0.42478051848112997,0.7495385833395185,0.2026871740475559
10,Australia,1975,175.714,0.612,1.04,12.758,0.244,718.781,52187.717,2.504,13773000.0,287000000000.0,0.0,1.0,0.0,1.0,0.0,0.45394818498506456,0.7783245503352383,0.21744895253248475
11,Australia,1976,174.075,0.582,0.978,12.491,0.234,744.211,53402.056,2.489,13936000.0,299000000000.0,0.0,1.0,0.0,1.0,0.0,0.44038625437514994,0.8412405057027635,0.23185715548484045
12,Australia,1977,187.605,0.619,1.026,13.312,0.24,781.321,55440.337,2.579,14093000.0,303000000000.0,0.0,1.0,0.0,1.0,0.0,0.5523404466583369,0.933053761844677,0.24573499513833644
13,Australia,1978,201.82,0.651,1.065,14.164,0.252,800.586,56185.391,2.583,14249000.0,310000000000.0,0.0,1.0,0.0,1.0,0.0,0.6699626819359056,0.9807169895346248,0.2595244409086891
14,Australia,1979,204.87,0.627,1.053,14.214,0.246,832.314,57747.453,2.545,14413000.0,327000000000.0,0.0,1.0,0.0,1.0,0.0,0.6951999536627144,1.0592147257477917,0.2740210377441881
15,Australia,1980,220.531,0.66,1.139,15.117,0.263,838.066,57449.029,2.509,14588000.0,334000000000.0,0.0,1.0,0.0,1.0,0.0,0.8247871380933863,1.0734456567455901,0.28948996729426324
16,Australia,1981,230.133,0.659,1.221,15.574,0.272,844.98,57182.117,2.421,14777000.0,349000000000.0,0.0,1.0,0.0,1.0,0.0,0.904239034198572,1.0905514733170045,0.3061964112083444
17,Australia,1982,233.889,0.676,1.251,15.614,0.277,844.602,56385.755,2.441,14979000.0,346000000000.0,0.0,1.0,0.0,1.0,0.0,0.9353181137414878,1.0896162695761893,0.32405197560328824
18,Australia,1983,224.785,0.646,1.191,14.793,0.266,846.493,55708.63,2.432,15195000.0,348000000000.0,0.0,1.0,0.0,1.0,0.0,0.8599869262657941,1.0942947623642347,0.34314505436223813
19,Australia,1984,236.361,0.649,1.217,15.325,0.268,883.389,57277.357,2.427,15423000.0,364000000000.0,0.0,1.0,0.0,1.0,0.0,0.955772715613183,1.1855785645364805,0.36329885971890746
20,Australia,1985,240.988,0.634,1.198,15.385,0.271,890.05,56821.368,2.342,15664000.0,380000000000.0,0.0,1.0,0.0,1.0,0.0,0.9940588980000498,1.202058437863381,0.3846017855564395
21,Australia,1986,239.722,0.621,1.175,15.06,0.261,920.219,57809.965,2.384,15918000.0,386000000000.0,0.0,1.0,0.0,1.0,0.0,0.9835833616045941,1.276699077166679,0.40705383187483424
22,Australia,1987,255.85,0.617,1.215,15.81,0.271,944.923,58389.857,2.277,16183000.0,415000000000.0,0.0,1.0,0.0,1.0,0.0,1.1170347446898299,1.3378188475716866,0.4304782109078052
23,Australia,1988,260.879,0.589,1.193,15.857,0.264,988.831,60103.989,2.232,16452000.0,443000000000.0,0.0,1.0,0.0,1.0,0.0,1.1586472822354432,1.4464509265444472,0.45425616547334924
24,Australia,1989,277.486,0.601,1.25,16.602,0.268,1036.65,62022.843,2.244,16714000.0,462000000000.0,0.0,1.0,0.0,1.0,0.0,1.2960621581590857,1.5647591479254808,0.4774153628568903
25,Australia,1990,278.425,0.591,1.227,16.416,0.264,1054.888,62194.891,2.24,16961000.0,471000000000.0,0.0,1.0,0.0,1.0,0.0,1.303831928044815,1.609881491377817,0.49924865199328206
26,Australia,1991,279.873,0.611,1.208,16.282,0.267,1048.013,60969.963,2.288,17189000.0,458000000000.0,0.0,1.0,0.0,1.0,0.0,1.3158134262285586,1.5928721640812487,0.5194024573499514
27,Australia,1992,284.912,0.586,1.269,16.372,0.269,1058.629,60833.735,2.178,17402000.0,486000000000.0,0.0,1.0,0.0,1.0,0.0,1.3575087089273743,1.6191370395111206,0.5382303544594714
28,Australia,1993,289.235,0.581,1.275,16.431,0.266,1088.799,61853.014,2.186,17603000.0,498000000000.0,0.0,1.0,0.0,1.0,0.0,1.3932794386568808,1.6937801528983891,0.555997524971272
29,Australia,1994,294.015,0.562,1.287,16.519,0.26,1132.366,63619.634,2.165,17799000.0,523000000000.0,0.0,1.0,0.0,1.0,0.0,1.4328316218877477,1.8015685692372398,0.5733227260673561
30,Australia,1995,305.41,0.559,1.309,16.974,0.263,1162.525,64609.823,2.129,17993000.0,546000000000.0,0.0,1.0,0.0,1.0,0.0,1.5271197239621692,1.876184467700834,0.5904711393971537
31,Australia,1996,312.362,0.549,1.299,17.173,0.262,1191.838,65525.196,2.095,18189000.0,569000000000.0,0.0,1.0,0.0,1.0,0.0,1.5846441544686523,1.9487072911254606,0.6077963404932378
32,Australia,1997,320.795,0.541,1.326,17.447,0.263,1222.002,66460.128,2.061,18387000.0,593000000000.0,0.0,1.0,0.0,1.0,0.0,1.6544231421644477,2.0233355600089062,0.6252983293556086
33,Australia,1998,334.685,0.545,1.388,18.006,0.268,1250.569,67281.935,2.037,18587000.0,614000000000.0,0.0,1.0,0.0,1.0,0.0,1.7693561599629302,2.0940127167916076,0.6429771059842659
34,Australia,1999,344.064,0.532,1.408,18.313,0.264,1305.306,69475.526,2.017,18788000.0,647000000000.0,0.0,1.0,0.0,1.0,0.0,1.8469628391516968,2.2294366510799377,0.6607442764960665
35,Australia,2000,350.195,0.515,1.394,18.44,0.267,1310.942,69029.632,1.928,18991000.0,680000000000.0,0.0,1.0,0.0,1.0,0.0,1.897693892580242,2.243380588337168,0.6786882347741536
36,Australia,2001,357.669,0.515,1.412,18.633,0.27,1323.379,68943.934,1.907,19195000.0,694000000000.0,0.0,1.0,0.0,1.0,0.0,1.9595376200839034,2.2741507706771564,0.6967205869353841
37,Australia,2002,362.21,0.5,1.398,18.67,0.27,1343.29,69238.187,1.855,19401000.0,724000000000.0,0.0,1.0,0.0,1.0,0.0,1.9971121941532273,2.3234122566119892,0.7149297268629011
38,Australia,2003,369.726,0.498,1.36,18.841,0.271,1363.812,69497.139,1.838,19624000.0,742000000000.0,0.0,1.0,0.0,1.0,0.0,2.05930345130034,2.374185407852742,0.734641562803854
39,Australia,2004,383.205,0.496,1.346,19.276,0.272,1409.419,70896.311,1.823,19880000.0,773000000000.0,0.0,1.0,0.0,1.0,0.0,2.1708356433021936,2.4870209554912295,0.7572703968885354
40,Australia,2005,386.513,0.468,1.314,19.154,0.275,1405.726,69662.82,1.702,20179000.0,826000000000.0,0.0,1.0,0.0,1.0,0.0,2.19820773998163,2.4778841633885054,0.7837001679483779
41,Australia,2006,392.681,0.466,1.293,19.131,0.264,1489.986,72590.178,1.77,20526000.0,842000000000.0,0.0,1.0,0.0,1.0,0.0,2.2492449504770256,2.6863504787352483,0.8143728453990984
42,Australia,2007,399.842,0.456,1.278,19.117,0.265,1510.48,72216.48,1.722,20916000.0,877000000000.0,0.0,1.0,0.0,1.0,0.0,2.308498754685444,2.7370543556248297,0.8488464598249801
43,Australia,2008,404.417,0.434,1.266,18.958,0.263,1538.33,72113.749,1.651,21332000.0,932000000000.0,0.0,1.0,0.0,1.0,0.0,2.346354662275657,2.805957594200747,0.8856183152125873
44,Australia,2009,407.463,0.44,1.295,18.733,0.267,1527.844,70242.482,1.648,21751000.0,927000000000.0,0.0,1.0,0.0,1.0,0.0,2.371558835941185,2.780014349687028,0.9226553522496244
45,Australia,2010,405.503,0.408,1.224,18.303,0.264,1534.103,69244.097,1.543,22155000.0,994000000000.0,0.0,1.0,0.0,1.0,0.0,2.355340785913465,2.795499641257824,0.958366481039512
46,Australia,2011,404.173,0.392,1.181,17.933,0.255,1585.808,70361.53,1.54,22538000.0,1030000000000.0,0.0,1.0,0.0,1.0,0.0,2.3443356805375126,2.9234221529478708,0.9922213382833908
47,Australia,2012,406.506,0.399,1.169,17.748,0.26,1565.603,68354.993,1.535,22904000.0,1020000000000.0,0.0,1.0,0.0,1.0,0.0,2.3636401247796908,2.873433286325738,1.0245734995138336
48,Australia,2013,397.943,0.394,1.137,17.112,0.253,1573.547,67664.905,1.558,23255000.0,1010000000000.0,0.0,1.0,0.0,1.0,0.0,2.2927854500922606,2.8930874093866747,1.0555997524971272
49,Australia,2014,394.117,0.386,1.118,16.703,0.247,1598.611,67749.236,1.567,23596000.0,1020000000000.0,0.0,1.0,0.0,1.0,0.0,2.261127154476927,2.95509785002103,1.0857420666489879
50,Australia,2015,401.555,0.382,1.14,16.779,0.248,1619.23,67659.602,1.542,23932000.0,1050000000000.0,0.0,1.0,0.0,1.0,0.0,2.3226729994290585,3.0061109874069127,1.1154424113851322
51,Australia,2016,411.032,0.384,1.167,16.941,0.249,1653.012,68128.936,1.545,24263000.0,1070000000000.0,0.0,1.0,0.0,1.0,0.0,2.401090581119211,3.0896904920953014,1.14470078670556
52,Austria,1965,38.141,0.497,0.338,5.221,0.207,184.265,25224.463,2.402,7305000.0,76716318720.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
53,Austria,1966,39.209,0.481,0.332,5.333,0.203,192.685,26208.567,2.364,7352000.0,81508507648.0,0.0,1.0,0.0,0.0,0.0,0.028001363362261215,0.0456950587469135,0.006433949349760438
54,Austria,1967,39.916,0.471,0.328,5.396,0.205,194.604,26308.555,2.295,7397000.0,84798611456.0,0.0,1.0,0.0,0.0,0.0,0.046537846411997555,0.05610940764659609,0.012594113620807666
55,Austria,1968,42.297,0.473,0.33,5.685,0.203,208.324,28000.536,2.331,7440000.0,89372991488.0,0.0,1.0,0.0,0.0,0.0,0.10896410686662644,0.13056738935771867,0.018480492813141684
56,Austria,1969,44.638,0.473,0.326,5.968,0.206,216.486,28945.887,2.296,7479000.0,94284914688.0,0.0,1.0,0.0,0.0,0.0,0.17034162712042158,0.17486229072260062,0.02381930184804928
57,Austria,1970,50.632,0.501,0.341,6.737,0.205,247.221,32892.674,2.448,7516000.0,101000000000.0,0.0,1.0,0.0,0.0,0.0,0.3274953462153588,0.3416601090820287,0.028884325804243667
58,Austria,1971,52.069,0.487,0.338,6.897,0.21,247.611,32796.12,2.314,7550000.0,107000000000.0,0.0,1.0,0.0,0.0,0.0,0.36517133793031137,0.3437766260548667,0.03353867214236824
59,Austria,1972,56.071,0.492,0.347,7.396,0.219,256.2,33795.04,2.247,7581000.0,114000000000.0,0.0,1.0,0.0,0.0,0.0,0.4700977950237278,0.3903888421566766,0.037782340862423
60,Austria,1973,60.016,0.504,0.353,7.89,0.218,275.259,36184.995,2.313,7607000.0,119000000000.0,0.0,1.0,0.0,0.0,0.0,0.5735297973309562,0.49382139852929224,0.04134154688569473
61,Austria,1974,57.295,0.47,0.339,7.513,0.208,275.571,36135.769,2.259,7626000.0,122000000000.0,0.0,1.0,0.0,0.0,0.0,0.5021892451692406,0.49551461210756276,0.04394250513347023
62,Austria,1975,54.214,0.437,0.321,7.098,0.198,273.32,35784.286,2.204,7638000.0,124000000000.0,0.0,1.0,0.0,0.0,0.0,0.421410031200021,0.4832985102976692,0.045585215605749484
63,Austria,1976,58.204,0.458,0.327,7.617,0.205,284.201,37194.273,2.238,7641000.0,127000000000.0,0.0,1.0,0.0,0.0,0.0,0.5260218662331875,0.5423493338398504,0.0459958932238193
64,Austria,1977,55.994,0.427,0.306,7.332,0.198,283.488,37120.363,2.164,7637000.0,131000000000.0,0.0,1.0,0.0,0.0,0.0,0.46807897013712285,0.5384799066561746,0.04544832306639288
65,Austria,1978,57.227,0.44,0.302,7.502,0.193,296.074,38814.085,2.277,7628000.0,130000000000.0,0.0,1.0,0.0,0.0,0.0,0.500406386827823,0.6067837082462759,0.044216290212183436
66,Austria,1979,61.322,0.454,0.315,8.05,0.196,313.074,41096.638,2.319,7618000.0,135000000000.0,0.0,1.0,0.0,0.0,0.0,0.6077711648881782,0.6990421403956261,0.04284736481861739
67,Austria,1980,52.026,0.383,0.269,6.836,0.167,311.401,40919.993,2.29,7610000.0,136000000000.0,0.0,1.0,0.0,0.0,0.0,0.3640439422144151,0.6899628252788106,0.04175222450376454
68,Austria,1981,55.834,0.414,0.296,7.342,0.185,301.482,39642.615,2.233,7605000.0,135000000000.0,0.0,1.0,0.0,0.0,0.0,0.46388400933378793,0.6361327436029633,0.04106776180698152
69,Austria,1982,53.566,0.391,0.286,7.046,0.184,291.268,38314.61,2.126,7602000.0,137000000000.0,0.0,1.0,0.0,0.0,0.0,0.4044204399465144,0.5807017067809948,0.0406570841889117
70,Austria,1983,51.669,0.369,0.274,6.796,0.178,290.536,38213.281,2.075,7603000.0,140000000000.0,0.0,1.0,0.0,0.0,0.0,0.3546839359219737,0.5767291672319758,0.04079397672826831
71,Austria,1984,54.215,0.39,0.279,7.127,0.188,288.731,37956.026,2.077,7607000.0,139000000000.0,0.0,1.0,0.0,0.0,0.0,0.42143624970504195,0.5669334925243535,0.04134154688569473
72,Austria,1985,54.367,0.383,0.27,7.14,0.18,302.78,39760.966,2.132,7615000.0,142000000000.0,0.0,1.0,0.0,0.0,0.0,0.42542146246821005,0.6431769462458958,0.04243668720054757
73,Austria,1986,53.73,0.361,0.263,7.047,0.176,305.656,40086.078,2.051,7625000.0,149000000000.0,0.0,1.0,0.0,0.0,0.0,0.4087202747699326,0.6587849021789273,0.04380561259411362
74,Austria,1987,57.375,0.37,0.272,7.511,0.178,321.996,42151.536,2.077,7639000.0,155000000000.0,0.0,1.0,0.0,0.0,0.0,0.504286725570908,0.7474615363742436,0.04572210814510609
75,Austria,1988,52.938,0.319,0.242,6.912,0.167,317.058,41396.728,1.91,7659000.0,166000000000.0,0.0,1.0,0.0,0.0,0.0,0.38795521879342454,0.720663175318156,0.048459958932238194
76,Austria,1989,53.698,0.303,0.242,6.986,0.168,318.939,41490.661,1.802,7687000.0,177000000000.0,0.0,1.0,0.0,0.0,0.0,0.4078812826092657,0.7308712994871519,0.052292950034223136
77,Austria,1990,62.125,0.332,0.274,8.043,0.191,324.777,42047.793,1.737,7724000.0,187000000000.0,0.0,1.0,0.0,0.0,0.0,0.6288246244199156,0.762553930480558,0.057357973990417525
78,Austria,1991,65.726,0.33,0.284,8.456,0.193,341.16,43890.335,1.714,7773000.0,199000000000.0,0.0,1.0,0.0,0.0,0.0,0.7232374609999739,0.8514639242395465,0.06406570841889117
79,Austria,1992,60.204,0.292,0.268,7.688,0.18,334.478,42712.07,1.624,7831000.0,206000000000.0,0.0,1.0,0.0,0.0,0.0,0.5784588762748749,0.8152009334382548,0.07200547570157427
80,Austria,1993,60.635,0.289,0.267,7.683,0.178,339.994,43080.881,1.619,7892000.0,210000000000.0,0.0,1.0,0.0,0.0,0.0,0.5897590519388585,0.8451360811874206,0.08035592060232717
81,Austria,1994,61.002,0.275,0.267,7.676,0.18,338.191,42555.844,1.523,7947000.0,222000000000.0,0.0,1.0,0.0,0.0,0.0,0.5993812432815082,0.8353512604129921,0.08788501026694046
82,Austria,1995,64.065,0.277,0.275,8.018,0.181,354.517,44370.149,1.535,7990000.0,231000000000.0,0.0,1.0,0.0,0.0,0.0,0.6796885241603524,0.9239519170759505,0.09377138945927448
83,Austria,1996,67.422,0.288,0.28,8.409,0.189,356.067,44408.472,1.522,8018000.0,234000000000.0,0.0,1.0,0.0,0.0,0.0,0.7677040455153247,0.9323637153013326,0.0976043805612594
84,Austria,1997,67.233,0.27,0.278,8.37,0.185,363.147,45206.934,1.458,8033000.0,249000000000.0,0.0,1.0,0.0,0.0,0.0,0.7627487480663855,0.9707866388082382,0.09965776865160848
85,Austria,1998,66.875,0.255,0.277,8.317,0.181,368.728,45855.933,1.407,8041000.0,262000000000.0,0.0,1.0,0.0,0.0,0.0,0.7533625232689233,1.0010745393862104,0.10075290896646133
86,Austria,1999,65.563,0.241,0.268,8.143,0.174,376.351,46745.875,1.384,8051000.0,272000000000.0,0.0,1.0,0.0,0.0,0.0,0.7189638446815764,1.0424443057552981,0.10212183436002738
87,Austria,2000,66.163,0.23,0.263,8.2,0.175,377.378,46768.93,1.31,8069000.0,288000000000.0,0.0,1.0,0.0,0.0,0.0,0.7346949476940825,1.0480178004504384,0.10458590006844627
88,Austria,2001,70.103,0.248,0.277,8.657,0.179,392.608,48482.101,1.387,8098000.0,283000000000.0,0.0,1.0,0.0,0.0,0.0,0.8379958574762066,1.130670501723062,0.10855578370978781
89,Austria,2002,71.919,0.246,0.278,8.842,0.182,394.277,48472.707,1.35,8134000.0,292000000000.0,0.0,1.0,0.0,0.0,0.0,0.8856086625940589,1.1397281089734894,0.1134839151266256
90,Austria,2003,77.554,0.265,0.285,9.486,0.193,400.823,49024.339,1.368,8176000.0,293000000000.0,0.0,1.0,0.0,0.0,0.0,1.0333499383865135,1.175253032317586,0.11923340177960301
91,Austria,2004,77.674,0.256,0.273,9.453,0.19,407.873,49637.665,1.346,8217000.0,303000000000.0,0.0,1.0,0.0,0.0,0.0,1.0364961589890147,1.2135131468265814,0.12484599589322382
92,Austria,2005,79.192,0.254,0.269,9.594,0.191,415.61,50352.568,1.332,8254000.0,312000000000.0,0.0,1.0,0.0,0.0,0.0,1.0762958496106552,1.2555015873877298,0.12991101984941822
93,Austria,2006,76.898,0.237,0.253,9.282,0.187,412.02,49730.816,1.268,8285000.0,325000000000.0,0.0,1.0,0.0,0.0,0.0,1.0161505990928397,1.2360187773044258,0.13415468856947296
94,Austria,2007,74.263,0.22,0.237,8.932,0.184,403.195,48495.944,1.196,8314000.0,337000000000.0,0.0,1.0,0.0,0.0,0.0,0.9470648383629168,1.188125797085719,0.1381245722108145
95,Austria,2008,73.588,0.215,0.23,8.821,0.179,412.168,49408.722,1.205,8342000.0,342000000000.0,0.0,1.0,0.0,0.0,0.0,0.929367347473847,1.2368219683607848,0.14195756331279946
96,Austria,2009,67.494,0.201,0.215,8.061,0.169,399.393,47700.099,1.189,8373000.0,336000000000.0,0.0,1.0,0.0,0.0,0.0,0.7695917778768255,1.1674924700838467,0.1462012320328542
97,Austria,2010,72.012,0.211,0.217,8.563,0.174,413.541,49172.489,1.213,8410000.0,341000000000.0,0.0,1.0,0.0,0.0,0.0,0.8880469835609974,1.244273193498494,0.1512662559890486
98,Austria,2011,69.898,0.2,0.204,8.268,0.181,386.946,45770.817,1.106,8454000.0,350000000000.0,0.0,1.0,0.0,0.0,0.0,0.8326210639469337,1.0999430168507316,0.15728952772073923
99,Austria,2012,67.209,0.184,0.193,7.905,0.165,406.619,47826.297,1.114,8502000.0,365000000000.0,0.0,1.0,0.0,0.0,0.0,0.7621195039458851,1.2067077307139178,0.16386036960985625
100,Austria,2013,67.746,0.184,0.194,7.918,0.168,402.988,47100.102,1.095,8556000.0,368000000000.0,0.0,1.0,0.0,0.0,0.0,0.776198841142078,1.187002415000136,0.17125256673511294
101,Austria,2014,64.084,0.166,0.182,7.439,0.165,387.78,45012.237,1.005,8615000.0,386000000000.0,0.0,1.0,0.0,0.0,0.0,0.6801866757557485,1.1044691069926464,0.17932922655715264
102,Austria,2015,66.283,0.17,0.188,7.637,0.171,388.734,44790.134,0.999,8679000.0,389000000000.0,0.0,1.0,0.0,0.0,0.0,0.7378411682965839,1.1096464331262041,0.18809034907597535
103,Austria,2016,67.112,0.17,0.191,7.673,0.167,401.969,45955.062,1.018,8747000.0,395000000000.0,0.0,1.0,0.0,0.0,0.0,0.7595763089588631,1.181472336037772,0.1973990417522245
104,Belgium,1965,105.331,0.924,0.935,11.153,0.255,412.853,43715.873,3.622,9444000.0,114000000000.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
105,Belgium,1966,105.097,0.883,0.891,11.076,0.264,397.76,41918.057,3.343,9489000.0,119000000000.0,0.0,1.0,0.0,1.0,0.0,-0.0022215681992956383,-0.03655780628940571,0.004764930114358323
106,Belgium,1967,107.361,0.852,0.882,11.267,0.257,417.558,43819.716,3.314,9529000.0,126000000000.0,0.0,1.0,0.0,1.0,0.0,0.01927257882294862,0.011396308129043471,0.009000423549343498
107,Belgium,1968,118.438,0.897,0.923,12.381,0.255,465.325,48643.636,3.525,9566000.0,132000000000.0,0.0,1.0,0.0,1.0,0.0,0.12443630080413173,0.12709608504722014,0.012918254976704785
108,Belgium,1969,123.492,0.87,0.902,12.864,0.242,510.695,53197.445,3.596,9600000.0,142000000000.0,0.0,1.0,0.0,1.0,0.0,0.17241837635643828,0.23698992135215194,0.016518424396442185
109,Belgium,1970,125.49,0.826,0.846,13.028,0.233,539.499,56011.136,3.549,9632000.0,152000000000.0,0.0,1.0,0.0,1.0,0.0,0.19138715098119255,0.30675809549646005,0.019906819144430325
110,Belgium,1971,121.371,0.768,0.787,12.56,0.229,529.291,54774.995,3.35,9663000.0,158000000000.0,0.0,1.0,0.0,1.0,0.0,0.15228185434487465,0.28203258787025903,0.02318932655654384
111,Belgium,1972,130.638,0.773,0.809,13.478,0.232,562.672,58049.319,3.329,9693000.0,169000000000.0,0.0,1.0,0.0,1.0,0.0,0.24026165136569483,0.36288703243042925,0.02636594663278272
112,Belgium,1973,138.639,0.77,0.815,14.262,0.243,570.19,58655.45,3.168,9721000.0,180000000000.0,0.0,1.0,0.0,1.0,0.0,0.3162221947954544,0.38109690374055666,0.029330792037272343
113,Belgium,1974,134.95,0.737,0.797,13.845,0.245,550.613,56490.558,3.009,9747000.0,183000000000.0,0.0,1.0,0.0,1.0,0.0,0.2811992670723717,0.3336780888112719,0.032083862770012704
114,Belgium,1975,121.823,0.677,0.721,12.467,0.236,516.516,52856.742,2.87,9772000.0,180000000000.0,0.0,1.0,0.0,1.0,0.0,0.1565730886443686,0.251089370792994,0.03473104616687844
115,Belgium,1976,129.678,0.672,0.729,13.239,0.237,547.445,55890.263,2.837,9795000.0,193000000000.0,0.0,1.0,0.0,1.0,0.0,0.23114752541986683,0.3260046554100371,0.03716645489199492
116,Belgium,1977,126.2,0.647,0.69,12.855,0.23,547.932,55814.648,2.81,9817000.0,195000000000.0,0.0,1.0,0.0,1.0,0.0,0.19812780662862783,0.3271842520219061,0.039495976281236765
117,Belgium,1978,135.451,0.677,0.714,13.77,0.237,571.919,58139.583,2.86,9837000.0,200000000000.0,0.0,1.0,0.0,1.0,0.0,0.2859557015503507,0.385284835038137,0.041613722998729355
118,Belgium,1979,139.787,0.675,0.718,14.186,0.237,588.721,59744.375,2.844,9854000.0,207000000000.0,0.0,1.0,0.0,1.0,0.0,0.32712117040567357,0.42598212923243867,0.043413807708598054
119,Belgium,1980,134.837,0.621,0.696,13.663,0.239,563.263,57074.012,2.596,9869000.0,217000000000.0,0.0,1.0,0.0,1.0,0.0,0.28012645849749823,0.3643185346842581,0.045002117746717495
120,Belgium,1981,123.574,0.612,0.656,12.506,0.231,535.362,54180.945,2.65,9881000.0,202000000000.0,0.0,1.0,0.0,1.0,0.0,0.17319687461431102,0.296737579719658,0.046272765777213044
121,Belgium,1982,117.103,0.591,0.626,11.841,0.229,511.52,51720.938,2.583,9890000.0,198000000000.0,0.0,1.0,0.0,1.0,0.0,0.11176196941071471,0.23898821130039014,0.04722575180008471
122,Belgium,1983,101.203,0.527,0.536,10.225,0.205,493.883,49897.285,2.572,9898000.0,192000000000.0,0.0,1.0,0.0,1.0,0.0,-0.03919074156706003,0.19626840546150803,0.04807285048708174
123,Belgium,1984,104.967,0.55,0.54,10.596,0.204,515.636,52052.883,2.7,9906000.0,191000000000.0,0.0,1.0,0.0,1.0,0.0,-0.0034557727544597917,0.24895786151487323,0.04891994917407878
124,Belgium,1985,104.005,0.565,0.517,10.488,0.194,537.12,54161.497,2.919,9917000.0,184000000000.0,0.0,1.0,0.0,1.0,0.0,-0.012588886462674878,0.3009957539366312,0.0500847098686997
125,Belgium,1986,102.368,0.528,0.502,10.31,0.185,553.433,55739.036,2.853,9929000.0,194000000000.0,0.0,1.0,0.0,1.0,0.0,-0.02813036997655019,0.3405086071797952,0.05135535789919526
126,Belgium,1987,102.59,0.505,0.487,10.319,0.18,569.816,57314.015,2.807,9942000.0,203000000000.0,0.0,1.0,0.0,1.0,0.0,-0.026022728351577405,0.3801910122973553,0.05273189326556544
127,Belgium,1988,99.744,0.451,0.456,10.015,0.172,581.107,58349.973,2.629,9959000.0,221000000000.0,0.0,1.0,0.0,1.0,0.0,-0.05304231422847978,0.40753972963742535,0.05453197797543414
128,Belgium,1989,106.794,0.464,0.481,10.701,0.182,585.874,58704.79,2.547,9980000.0,230000000000.0,0.0,1.0,0.0,1.0,0.0,0.013889548186193939,0.4190862122837911,0.056755612028801354
129,Belgium,1990,120.309,0.51,0.53,12.023,0.194,620.979,62054.453,2.631,10007000.0,236000000000.0,0.0,1.0,0.0,1.0,0.0,0.14219935251730254,0.5041164772933708,0.05961457009741635
130,Belgium,1991,123.382,0.508,0.533,12.29,0.192,642.606,64010.993,2.644,10039000.0,243000000000.0,0.0,1.0,0.0,1.0,0.0,0.1713740494251455,0.5565007399728232,0.06300296484540449
131,Belgium,1992,122.508,0.477,0.546,12.156,0.191,640.136,63518.143,2.491,10078000.0,257000000000.0,0.0,1.0,0.0,1.0,0.0,0.1630763972619646,0.5505179809762796,0.06713257094451504
132,Belgium,1993,121.444,0.474,0.535,12.002,0.193,630.089,62267.953,2.461,10119000.0,256000000000.0,0.0,1.0,0.0,1.0,0.0,0.1529749076720054,0.5261824426611894,0.07147395171537484
133,Belgium,1994,124.817,0.467,0.546,12.29,0.188,665.646,65542.1,2.493,10156000.0,267000000000.0,0.0,1.0,0.0,1.0,0.0,0.18499776893791942,0.61230752834544,0.07539178314273613
134,Belgium,1995,125.956,0.456,0.54,12.366,0.188,671.426,65916.53,2.433,10186000.0,276000000000.0,0.0,1.0,0.0,1.0,0.0,0.19581129961739657,0.626307668831279,0.07856840321897501
135,Belgium,1996,129.497,0.476,0.538,12.686,0.181,713.924,69937.7,2.625,10208000.0,272000000000.0,0.0,1.0,0.0,1.0,0.0,0.2294291329238307,0.7292450339467074,0.08089792460821686
